"","logFC","AveExpr","t","P.Value","adj.P.Val","B","symbol","change"
"ENSG00000096384",13588.534744946,26979.792535961,3.71746549892952,0.000475598169759378,0.0119733590100333,-2.90397681114862,"HSP90AB1","Up"
"ENSG00000137265",11970.199766649,14105.0782286827,5.48990254116766,1.07524904474009e-06,0.000204253874094769,-1.37655799379645,"IRF4","Up"
"ENSG00000145425",-10830.9163021176,33562.818457403,-4.25422678899772,8.28450880518048e-05,0.00391453448719156,-2.44600717204192,"RPS3A","Down"
"ENSG00000080824",10075.7689453621,20628.7678087639,3.57423272500455,0.000743801574955556,0.0160965850616964,-3.02334694377929,"HSP90AA1","Up"
"ENSG00000149212",-9745.86108216993,7851.42054818184,-4.24800914765276,8.4588979477991e-05,0.00395881332580145,-2.45137966156821,"SESN3","Down"
"ENSG00000152558",-9702.19930089359,12509.5596580237,-5.30493747755465,2.10411312384855e-06,0.000341120270750826,-1.53495951096592,"TMEM123","Down"
"ENSG00000177494",9297.80902558327,2893.6429300127,5.48098652894773,1.11075612995842e-06,0.00020888879779998,-1.38416459375635,"ZBED2","Up"
"ENSG00000142541",-9182.33005392866,29638.6089239292,-3.63242910865515,0.000620875562242585,0.0144150442265852,-2.97503156546988,"RPL13A","Down"
"ENSG00000196230",8752.26453099268,17651.3132387012,3.66110962321,0.000567686477829268,0.0135463938606453,-2.95112530067841,"TUBB","Up"
"ENSG00000081237",-7912.26099355422,26587.8153653366,-3.28800546447042,0.00176870602392863,0.028451173807245,-3.25667906325328,"PTPRC","Down"
"ENSG00000100385",6721.4976320941,5725.21553128661,5.25758028249566,2.4963644637581e-06,0.000378601855688991,-1.57570135195956,"IL2RB","Up"
"ENSG00000115053",5894.94449158261,16911.9753538622,3.06622927438107,0.00336777165861836,0.0423990496715641,-3.43162127279866,"NCL","Up"
"ENSG00000173114",-5783.68899107066,4264.90571258184,-4.53349228951815,3.20991807193193e-05,0.00199886487618384,-2.20384396901762,"LRRN3","Down"
"ENSG00000147604",-5588.69785158977,22674.685094298,-3.00973014241775,0.00395222729596292,0.0470713024242424,-3.4752387641265,"RPL7","Down"
