"","logFC","AveExpr","t","P.Value","adj.P.Val","B","symbol","change"
"ENSG00000156508",-114775.447747387,280126.720902356,-5.52769531984866,9.36791472451345e-07,8.72143585689109e-05,-1.34435068310065,"EEF1A1","Down"
"ENSG00000166710",-33661.6620143194,70593.5134457051,-3.61295060218571,0.000659680684757717,0.012373847675108,-2.99123223496253,"B2M","Down"
"ENSG00000115415",-25790.7130921515,19904.5149551569,-3.68051080268643,0.00053420880136065,0.0106989677512123,-2.9349193962771,"STAT1","Down"
"ENSG00000133112",-19653.5889940966,74107.2234934245,-3.33003761562386,0.00156118339458918,0.023559045827015,-3.22290703198373,"TPT1","Down"
"ENSG00000100316",-16833.8091452621,39225.0732819807,-3.92462817700565,0.000245390905832354,0.00600888199880631,-2.72889812492513,"RPL3","Down"
"ENSG00000080824",14854.8084249561,20628.7678087639,5.26952758484907,2.3910880802298e-06,0.000174289931925588,-1.56541649968912,"HSP90AA1","Up"
"ENSG00000145425",-14274.0055367612,33562.818457403,-5.60662228817323,7.01973670939826e-07,7.05952773031784e-05,-1.27727956321478,"RPS3A","Down"
"ENSG00000142541",-14177.4075579056,29638.6089239292,-5.6084270110254,6.97349823027637e-07,7.05952773031784e-05,-1.27574906368627,"RPL13A","Down"
"ENSG00000096384",13218.5939345948,26979.792535961,3.61625942889036,0.000652929381921126,0.0123159377697179,-2.98848226822477,"HSP90AB1","Up"
"ENSG00000254772",-11743.0250866781,33654.0794639177,-3.30919890931271,0.00166101034565463,0.0245788725417235,-3.23967345510474,"EEF1G","Down"
"ENSG00000154451",-11490.4834164865,4843.9210456185,-3.20593142413992,0.00225119335561852,0.0305895536457817,-3.32207958564361,"GBP5","Down"
"ENSG00000177954",-10723.731496641,28542.8738384238,-2.97101293418827,0.00440598352511471,0.049967114931225,-3.50488770473791,"RPS27","Down"
"ENSG00000196230",10172.4958667146,17651.3132387012,4.25519845496134,8.25757329775993e-05,0.00256680865186237,-2.44516748549017,"TUBB","Up"
"ENSG00000152558",-9706.25321575115,12509.5596580237,-5.30715406414412,2.08732465315974e-06,0.00016220755135257,-1.53305427300949,"TMEM123","Down"
"ENSG00000112306",-9580.67810873253,20002.4645716204,-4.93582332115383,7.88254251543555e-06,0.000434718752332202,-1.85402353571442,"RPS12","Down"
"ENSG00000134333",9424.76930831369,11225.3585261139,4.59257504881982,2.61874632449038e-05,0.00108715548296614,-2.15247152067486,"LDHA","Up"
"ENSG00000147604",-9377.47115772072,22674.685094298,-5.05013123853468,5.25203422710224e-06,0.000307693942912414,-1.75489254871894,"RPL7","Down"
"ENSG00000226979",9289.66032740881,5907.59407644272,4.1974875368669,0.00010014278115594,0.0029751740006613,-2.49499212873381,"LTA","Up"
"ENSG00000123416",8611.65462699468,11377.3170445819,3.3873367274682,0.00131514616224171,0.0207397339534871,-3.17657952900702,"TUBA1B","Up"
"ENSG00000163682",-8419.62596369945,22043.4754495119,-3.04618013299462,0.00356523824217091,0.0428147320448698,-3.44714615961563,"RPL9","Down"
"ENSG00000149212",-8160.7756882362,7851.42054818184,-3.55710485541324,0.000784195634933824,0.0141395811223063,-3.03751546686089,"SESN3","Down"
"ENSG00000177494",7703.36940661759,2893.6429300127,4.54107670194167,3.12730248428244e-05,0.00125132022381735,-2.19725084508396,"ZBED2","Up"
"ENSG00000231500",-7577.1673927028,20125.7830058636,-3.12550094863344,0.00284219923520074,0.0361395529527959,-3.38543148257626,"RPS18","Down"
"ENSG00000174444",-7439.0195553475,33886.3608438515,-2.97702659166195,0.00433245804231852,0.0493795187538437,-3.5002956762516,"RPL4","Down"
"ENSG00000067225",7408.71864197013,15916.1685875084,3.05151871337002,0.00351162624128079,0.0422681135089075,-3.44301726241886,"PKM","Up"
"ENSG00000143947",-7292.09248735756,18803.722210738,-3.6884804095823,0.000521011761257141,0.0105241354602529,-2.92825449028468,"RPS27A","Down"
"ENSG00000122026",-7235.53492234971,19985.8857349587,-3.66833350166875,0.000554993261760318,0.0109981067235664,-2.9450943493476,"RPL21","Down"
"ENSG00000198034",-7127.88437769532,21768.4243100664,-3.34333662782744,0.00150047115481917,0.0228150721740141,-3.21218371524076,"RPS4X","Down"
"ENSG00000115053",7087.02079532715,16911.9753538622,3.68628248523942,0.000524619843174419,0.0105631699900836,-2.93009304563742,"NCL","Up"
