"","logFC","AveExpr","t","P.Value","adj.P.Val","B","symbol","change"
"ENSG00000081237",-9628.03128608431,26587.8153653366,-4.00100799335702,0.00019146065236803,0.0356507252680545,-2.66374647113262,"PTPRC","Down"
"ENSG00000137265",9036.02348325881,14105.0782286827,4.14419886466776,0.000119546274730866,0.0267641338403413,-2.54090530577117,"IRF4","Up"
"ENSG00000149212",-8832.20683216236,7851.42054818184,-3.84976710632871,0.000312290772582021,0.0489411689098124,-2.79245976262536,"SESN3","Down"
"ENSG00000173114",-5856.33344067733,4264.90571258184,-4.59043398411421,2.63817927839853e-05,0.00729611757493571,-2.15433358861909,"LRRN3","Down"
"ENSG00000112851",3768.44961422027,4321.13986904256,6.23695735187316,6.82004362088199e-08,4.7502866790484e-05,-0.752812435758373,"ERBIN","Up"
"ENSG00000138623",3593.84780584658,1358.01819180466,4.09737217208236,0.000139564328876966,0.0298255314643208,-2.58116789721526,"SEMA7A","Up"
"ENSG00000109452",-3288.91046344495,2747.26444394466,-6.5975275354446,1.77065022882247e-08,1.51358400923797e-05,-0.463561616565585,"INPP4B","Down"
"ENSG00000010810",-3166.66879302235,3986.7979730223,-4.860121045697,1.02978811921044e-05,0.0035751466899989,-1.91978051831568,"FYN","Down"
"ENSG00000178562",-2954.18782553543,3816.02902276096,-6.02494126263864,1.50081311194807e-07,8.3012621715575e-05,-0.926769508606464,"CD28","Down"
"ENSG00000077809",2941.38302970273,4517.85054518405,6.25690921447046,6.33099414616602e-08,4.57925676587686e-05,-0.736583890349638,NA,"Up"
"ENSG00000013725",2731.98877192239,4643.01515790079,4.03004087607459,0.00017412663139657,0.0348364407451478,-2.63890902221781,"CD6","Up"
"ENSG00000163947",-2659.60474062191,2600.8911617983,-6.12233432171754,1.04515374138689e-07,6.55172042017395e-05,-0.846523864020567,"ARHGEF3","Down"
"ENSG00000163519",-2459.55292465602,3027.26502627316,-3.99900623507338,0.000192715317233073,0.0356507252680545,-2.6654575492985,"TRAT1","Down"
"ENSG00000116824",2367.79050558613,4705.41865193365,4.52948498978073,3.25442492767648e-05,0.00862010073096957,-2.20732730018521,"CD2","Up"
"ENSG00000204217",2272.68454354778,1336.09762623719,7.81456291019153,1.83247532675161e-10,3.13286645408099e-07,0.441861049345516,"BMPR2","Up"
"ENSG00000114423",-2239.66415029706,1319.43519383761,-7.31139176155706,1.21134369070302e-09,1.75234841902776e-06,0.0815530519014169,"CBLB","Down"
"ENSG00000143333",2149.77327714922,1298.43140511129,5.471032429186,1.15176745873649e-06,0.000528296068999962,-1.39266050199104,"RGS16","Up"
"ENSG00000166501",-2115.16016477348,1965.492682158,-8.54948941163073,1.18506261464894e-11,2.47625417012089e-08,0.931059531375931,"PRKCB","Down"
"ENSG00000111145",2099.07451233633,1673.14150199469,9.19096073869702,1.12048351679447e-12,3.01025900240526e-09,1.32220419743362,"ELK3","Up"
